Transaction Date,Post Date,Description,Category,Type,Amount
09/09/2020,09/09/2020,AMZN Mktp US*MU3LI9GG0,Shopping,Sale,-9.70
09/06/2020,09/06/2020,AMZN Mktp US*MU4DF8VF2,Shopping,Sale,-32.46
09/08/2020,09/09/2020,AMZN Mktp US*MU4EP5BL2,Shopping,Sale,-71.42
08/26/2020,08/27/2020,AMZN Mktp US*MU4PW5OK1,Shopping,Sale,-24.89
09/16/2020,09/16/2020,AMZN Mktp US*MU4UB5UO0,Shopping,Sale,-76.52
09/12/2020,09/13/2020,AMZN Mktp US*MU5BC6IL2,Shopping,Sale,-17.31
09/18/2020,09/18/2020,AMZN Mktp US*MU5IC2YI0,Shopping,Sale,-23.80
09/08/2020,09/09/2020,AMZN Mktp US*MU62781B0,Shopping,Sale,-17.31
09/08/2020,09/09/2020,AMZN Mktp US*MU6Q750Z0,Shopping,Sale,-32.41
09/09/2020,09/09/2020,AMZN Mktp US*MU7MD6GG0,Shopping,Sale,-62.76
09/09/2020,09/10/2020,AMZN Mktp US*MU8166XM0,Shopping,Sale,-151.50
08/26/2020,08/27/2020,AMZN Mktp US*MU8J54O21,Shopping,Sale,-6.97
09/13/2020,09/14/2020,AMZN Mktp US*MU8R01WZ2,Shopping,Sale,-30.30
09/07/2020,09/08/2020,AMZN Mktp US*MU8TX85W2,Shopping,Sale,-54.11
09/14/2020,09/14/2020,AMZN Mktp US*MU9CD7SG0,Shopping,Sale,-25.44
09/06/2020,09/06/2020,AMZN Mktp US*MU9DK42S1,Shopping,Sale,-4.31
09/15/2020,09/16/2020,AMZN Mktp US*MU9XS37M0,Shopping,Sale,-92.76
07/16/2020,07/17/2020,AMZN Mktp US*MV0EK0A61,Shopping,Sale,-7.89
07/16/2020,07/17/2020,AMZN Mktp US*MV0QT2F00,Shopping,Sale,-17.31
07/27/2020,07/27/2020,AMZN Mktp US*MV0TI2Q32,Shopping,Sale,-43.15
07/16/2020,07/17/2020,AMZN Mktp US*MV1X37AG1,Shopping,Sale,-18.35
07/30/2020,07/31/2020,AMZN Mktp US*MV46F0YR0,Shopping,Sale,-12.86
07/27/2020,07/28/2020,AMZN Mktp US*MV46M82B0,Shopping,Sale,-32.46
07/28/2020,07/28/2020,AMZN Mktp US*MV48M7KI0,Shopping,Sale,-143.83
07/23/2020,07/23/2020,AMZN Mktp US*MV5UH8K41,Shopping,Sale,-7.01
07/13/2020,07/14/2020,AMZN Mktp US*MV6P19F11,Shopping,Sale,-31.37
07/12/2020,07/13/2020,AMZN Mktp US*MV6ZC8OH1,Shopping,Sale,-15.14
07/22/2020,07/22/2020,AMZN Mktp US*MV70C9E02,Shopping,Sale,-40.46
07/23/2020,07/23/2020,AMZN Mktp US*MV8MA4KX1,Shopping,Sale,-30.29
05/31/2020,06/01/2020,AMZN Mktp US*MY1HG0NF1,Shopping,Sale,-9.73
06/07/2020,06/08/2020,AMZN Mktp US*MY4MH2012,Shopping,Sale,-23.33
06/10/2020,06/10/2020,AMZN Mktp US*MY5MV8UJ1,Shopping,Sale,-24.90
06/03/2020,06/04/2020,AMZN Mktp US*MY5TI34P2,Shopping,Sale,-29.22
06/02/2020,06/03/2020,AMZN Mktp US*MY6JI6ZW0,Shopping,Sale,-94.23
06/04/2020,06/05/2020,AMZN Mktp US*MY85S4EM0,Shopping,Sale,-32.46
05/30/2020,05/31/2020,AMZN Mktp US*MY8EZ6LK1,Shopping,Sale,-7.75
06/04/2020,06/04/2020,AMZN Mktp US*MY8V97AB0,Shopping,Sale,-20.05
06/11/2020,06/11/2020,AMZN Mktp US*MY9XB6BL2,Shopping,Sale,-8.65
01/03/2020,01/05/2020,AMZN Mktp US*N92RW7543,Shopping,Sale,-10.81
01/04/2020,01/05/2020,AMZN Mktp US*NP7FE55X3,Shopping,Sale,-15.14
01/16/2020,01/17/2020,AMZN Mktp US*O432102J3,Shopping,Sale,-15.14
